,itemname,itemprice,itemfluct,itemvolume,itemamount,itembefore
036180,영인프런티어,6260,16.14,18035622,116888,870
123040,엠에스오토텍,3830,8.19,10662262,41677,290
114450,KPX생명과학,6900,17.15,9805251,68995,1010
130500,GH신소재,4630,10.77,7730416,37500,450
071460,대유위니아,3795,10.16,6774469,26613,350
142760,바이오리더스,12200,13.49,5120641,65677,1450
101000,디엠씨,3945,5.76,4460670,17535,215
033180,필룩스,3820,9.77,3206916,12287,340
030210,KTB투자증권,6670,9.52,2834803,18459,580
001780,알루코,4320,10.77,2655297,11429,420
007630,폴루스바이오팜,17150,12.83,2167863,35799,1950
230360,에코마케팅,10500,11.23,2112026,22800,1060
028080,휴맥스홀딩스,5180,11.52,1908003,10435,535
067160,아프리카TV,26750,22.15,1877962,47287,4850
115160,휴맥스,8750,5.93,1690823,15770,490
123010,옵토팩,4740,12.72,1670803,7637,535
042660,대우조선해양,24500,7.69,1670749,40599,1750
037560,CJ헬로,9640,6.17,786116,7429,560
